Mensagem,TipoChamado
"Bom dia, Luciana Cancela as seguintes ordens por gentileza, eu ia editar e mudar de colaborador, mas essas opções estão desativadas. 20221352025, 20221432025, 20221512025, 20221672025, 20221752025, 20221812025 , 20221852025, 20221892025 , 20221932025 , 20221972025, 20222012025, 20222032025, 20222052025, 20222112025, 20222132025, 20222172025, 20222192025, 20222212025, 20222252025, 20222272025. 20221592025 . 20221812025, 20221892025, 20222032025, 20222552025, 20222592025, 20222632025, 20222672025, 20222712025, 20222752025 Motivo Colaborador desligado da empresa no dia20.02.2025",Pedido de Suporte
"De Para Tarefa 41153Demissão de Colaborador  de Bom dia! Solicito a exclusão do seguinte usuário no sistema Point Service Nome João Lucas Gonçalves Dias  HRPARAÍSO Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Laryssa Souza Marinho   5 anexos   1  SOLICITAÇÃO DE RESCISÃO  JOÃO LUCAS DIAS      2  AUTO. EMAIL JOÃO LUCAS G. DIAS      3  DEVOLUÇÃO TERMO CRACHÁ  JOÃO LUCAS DIAS      3  AVISO DESLIGA. INDENIZADO  JOÃO LUCAS DIAS      8  ASO DEMISSIONAL  JOÃO LUCAS DIAS    ",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"   Avoid suspension of your Postman account   Hey there,   Theres an overdue payment of 19 for your team.   To avoid suspension of your teams account and continue using Postman without interruption, please take care of the overdue payment at the earliest using the Pay Now button or from the Billing    Pay   Need help? Learn more about or contact       2025 Postman Inc., All Rights Reserved   201 Mission Street, Suite 2375, San Francisco, CA 94105 ",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 40458Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Antônio Jadiel Pereira Novais Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo  ",Pedido de Suporte
"Boa tarde, Venho por meio deste solicitar o cancelamento de uma preventiva da unidade SESAU, visto que o ar condicionado correspondente não está no local. O número da preventiva é  20117362025 Os demais dados encontramse na imagem em anexo. Fico à disposição para quaisquer",Pedido de Suporte
" Take 2 min this week to see your monitors performance.    Hello Atendimento, Here is the last week performance summary of your monitors in the team.  1  Active monitors 0  Healthy monitors 2.89k  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"Bom dia, Venho por meio deste solicitar o cancelamento de uma preventiva da unidade LACEN, visto que o ar condicionado correspondente foi lançado duplicado. O número da preventiva é  20115982025 Os demais dados encontramse na imagem em anexo. Fico à disposição para quaisquer",Pedido de Suporte
"De Para Tarefa 40653Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome João Sousa de Sousa Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Maria de Lourdes Tavares dos Santos  ",Pedido de Suporte
"De Para Tarefa 40653Demissão de Colaborador  de Olá Segue termo de devolução de Crachá. João Sousa de Sousa Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Devolução crachá João Sousa de   ",Pedido de Suporte
"Bom dia, Venho por meio deste solicitar o cancelamento de duas preventivas da unidade LACEN, visto que os nobreaks correspondentes não se encontram mais nesse local. Os números das preventivas são  20122802025  20122832025 Os demais dados encontramse na imagem em anexo. Fico à disposição para quaisquer",Pedido de Suporte
"De Para Tarefa 40623Demissão de Colaborador  de Olá Segue termo de devolução de Crachá. Wesley Gomes de Almeida Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Devolução crachá Wesley Gomes de   ",Pedido de Suporte
"De Para Tarefa 40647Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Edmundo Barroso de Souza Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Devolução crachá Edmundo Barroso   ",Pedido de Suporte
"De Para Tarefa 40647Demissão de Colaborador  de Olá Segue termo de devolução de Crachá. Edmundo Barroso de Souza Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   3 anexos   Solicitação de Rescisão Edmundo Barroso de     Email autorização de     Devolução crachá Edmundo Barroso   ",Pedido de Suporte
"De Para Tarefa 40470Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome James Sobral do Nascimento Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo  ",Pedido de Suporte
"De Para Tarefa 40629Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Luzeilton Ribeiro de Sousa Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Devolução cracha Luzeilton   ",Pedido de Suporte
"De Para Tarefa 40629Demissão de Colaborador  de Olá Segue termo de devolução de Crachá. Luzeilton Ribeiro de Sousa Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Devolução cracha Luzeilton   ",Pedido de Suporte
"De Para Tarefa 40800Demissão de Colaborador Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Mirian Neves Pinheiro   1 anexo   SOLICITACAO DE DESLIGAMENTO  HAYNNER DE SOUSA   ",Pedido de Suporte
"De Para Tarefa 40464Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Paulo Henrique César da Silva Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo  ",Pedido de Suporte
"Bom dia, Solicito o cancelamento das seguintes ordens, por motivo de duplicidade 20031102025 20031142025 20031172025",Pedido de Suporte
"Bom dia, Solicito a transferência de 36 ordens de serviço, para o colaborador Donizeti Canhete da Silva, que estão distribuídas para o excolaborador Eduardo da Costa Bernardes.",Pedido de Suporte
"De Para Tarefa 40605Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Ryam Pereira Campos Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Solicitação de Rescisão Ryan Pereira   ",Pedido de Suporte
"De Para Tarefa 40605Demissão de Colaborador  de Olá Segue termo de devolução de Crachá. Ryan Pereira Campos Atenciosamente, h4. Maria de Lourdes Tavares dos Santos   1 anexo   Devolução do Crachá Ryan Pereira   ",Pedido de Suporte
"De Para Tarefa 40409Demissão de Colaborador  Aviso Prévio Bom dia, Solicito a exclusão do usuário João Batista da Silva no aplicativo Point Service. Atenciosamente, Heloísa Vitória h4. Heloisa Vitoria Ferreira Lucas   4 anexos   Formulário demissional  João Batista da     EMAIL HUMBERTO     Aviso prévio indenizado  João Batista da     EMAIL HUMBERTO   ",Pedido de Suporte
"De Para Tarefa 40403Demissão de Colaborador  Aviso Prévio Bom dia, Solicito a exclusão do usuário Arnaldo Oliveira Santos no aplicativo Point Service. Atenciosamente, Heloísa Vitória h4. Heloisa Vitoria Ferreira Lucas   4 anexos   Formulário demissional  Arnaldo Oliveira     EMAIL HUMBERTO     Aviso prévio indenizado  Arnaldo Oliveira     EMAIL HUMBERTO   ",Pedido de Suporte
"De Para Tarefa 40397Demissão de Colaborador  Aviso Prévio Bom dia, Solicito a exclusão do usuário Eduardo da Costa Bernardes no aplicativo Point Service. Atenciosamente, Heloísa Vitória h4. Heloisa Vitoria Ferreira Lucas   4 anexos   Formulário de rescisão  Eduardo da Costa     EMAIL HUMBERTO     Aviso prévio indenizado  Eduardo da Costa     EMAIL HUMBERTO   ",Pedido de Suporte
"De Para Tarefa 40476Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Isequiel Castro Sobral Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo  ",Pedido de Suporte
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 408  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 39711Demissão de Colaborador  Aviso Prévio Boa tarde! Segue em termo de devolução do crachá da seguinte colaboradora Valdelice Rodrigues da Silva Coêlho. Atenciosamente, h4. Laryssa Souza Marinho   6 anexos   1  SOLICITAÇÃO DE RESCISÃO  VALDELICE RODRIGUES      2. Anexar cópia de email com autorização da Diretoria para Desligamento  VADELICE     3  Solicitação de     5  DEVOLUÇÃO CRACHÁ  VALDELICE     7  TERMO DEVOLUÇÃO EPIs  VALDELICE     ASO DEMISSIONAL  VALDELICE RODRIGUES DA SILVA   ",Pedido de Suporte
"De Para Tarefa 40484Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Jorge Ferreira dos Santos Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Gilmaria Gomes de Melo   4 anexos   FI RH 03  Formulário de Rescisao do Empregado  Jorge         Termo de Crachá  Jorge     Aviso indenizado  Jorge   ",Pedido de Suporte
Bom dia Fazer o cadastro de,Pedido de Suporte
Identificado que os equipamentos estão offline,Reclamacao
Identificado que os equipamentos consta offline,Reclamacao
" Take 2 min today to see your monitors performance.    Hello Atendimento, Here is the daily performance summary of your monitors in the team.  1  Active monitors 1  Healthy monitors 34  Requests sent   Personal monitors  Summary of the active monitors in your personal workspace.    Monitor nameSuccess rate Response time ms  Monitoramento  This email was sent to which is associated with a Postman account. If you dont wish to receive these emails, go to notification     2025 Postman Inc. All Rights Reserved 201 Mission Street, Suite 2375, San Francisco, CA 94105",Informacao
"De Para Tarefa 38132Demissão de Colaborador  Aviso Prévio Olá Solicito exclusão de usuário no Sistema Point Service nome EDGAR ALEXANDER RODRIGUEZ BOLIVAR Também que seja cancelado email corporativo e acesso a demais sistemas da empresa. Atenciosamente, h4. Danielly Brito de Araujo   4 anexos   FORMULÁRIO DE RESCISÃO  EDGAR     Edgar Alexander Rodrigues  Pedido de demissão com     CAUTELA DE EPI EDGAR ALEXANDER     EDGAR ALEXANDER RODRIGUEZ BOLIVAR    ",Pedido de Suporte
"De Para Tarefa 38132Demissão de Colaborador  Aviso Prévio Bom dia, solicito a exclusão de usuário do colaborador h4. Danielly Brito de Araujo   4 anexos   FORMULÁRIO DE RESCISÃO  EDGAR     Edgar Alexander Rodrigues  Pedido de demissão com     CAUTELA DE EPI EDGAR ALEXANDER     EDGAR ALEXANDER RODRIGUEZ BOLIVAR    ",Pedido de Suporte
"Bom dia, A localização das OS que aparece na visualização dos detalhes, não está mostrando o pin que indica o local da realização do serviço. Lá só o mapa aparece, mas não o ponto onde foi realizado.",Reclamacao
"   Your payment is overdue   Hey there,   Theres an overdue payment of 19 for your team.   Please make the payment using the Pay Now button or from the Billing before Mar 07, 2025 to avoid suspension of your teams account.    Pay   Need help? Learn more about or contact       2025 Postman Inc., All Rights Reserved   201 Mission Street, Suite 2375, San Francisco, CA 94105 ",Informacao
Bom dia Fazer cadastro de,Pedido de Suporte
"Bom dia, Na edição e cadastro dos no campo LOCAL, favor apresentar somente os locais vinculados àquela unidade e andar selecionados anteriormente. Aproveitando seria interessante também colocar no campo FUNÇÂO, as demais funções existentes no banco de dados, pois no frontend aparece somente essas 4 opções, mas no total são 7 opções. E algumas vezes precisamos editar no Banco de Dados esse campo, porque não aparece a opção que precisamos. !image !image Obrigado!",Reclamacao
"Boa tarde, solicito, por favor, a liberação de acesso para abertura de Ordem de Serviço. Sou Assistente de Atividades estamos sem coordenador de unidade, porém até 31122024 era eu quem ocupava este cargo e não consigo mais acessar. Nome Margarete Núbia de Oliveira Mat. 50509903 Cargo Assistente de Atividades Administrativas CPF 963.866.57187 Telefone 62 992837090 email Unidade CSF Vila Rica Endereço Rua Principal, SNº, Distrito de Vila Rica, GoianiaGO. Obrigada Att Margarete Núbia de Oliveira Assistente de Atividades Administrativas CSF Vila Rica",Pedido de Suporte
"  Diógenes Albuquerque reacted to your message   From Larissa Silva Cunha  Sent Friday, February 14, 2025 60327 PM To Tecnologia da Informação Subject Exclusão de Usuário Sistema Point Service De Para Tarefa 39396Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Barbara da Conceição de Souza Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente,   h4. Larissa Silva Cunha   ",Reincidencia
"De Para Tarefa 39396Demissão de Colaborador  de Olá Solicito a exclusão do seguinte usuário no sistema Point Service. Nome Barbara da Conceição de Souza Peço que também seja excluido acesso em demais sistemas da empresa. Atenciosamente, h4. Larissa Silva Cunha  ",Pedido de Suporte
" Mensagem encaminhada  De Rhoslanna Oliveira Data sex., 31 de jan. de 2025 às 1002 Assunto solicitação de acesso Para Olá bom dia , me chamo Rhoslanna de Oliveira, Gerente Técnica do CER III PalmasTO A Laryssa da Construtora Porto, entrou em contato comigo, pediu pra solicitar o acesso ao sistema Point Service, para solicitações e assinaturas de corretivas. Segue meus dados. Nome completo RHOSLANNA DE OLIVEIRA NUNES CPF 04468410132 Telefone 63984093129 Email Unidade CER",Pedido de Suporte
"Prezados a, Gostaria de solicitar por gentileza o cancelamento de preventivas lançadas em formulário errados TIPO DE MANUTENÇÃO PREVENTIVA UNIDADE HOSPITAL REGIONAL DE MIRACEMA DATA INICIAL 06022025 DATA FINAL 06022025 SETORES  CORREDOR DE SERVIÇO  HRM  ADMINISTRAÇÃO  HRM  AMBULATÓRIO  HRM  CENTRAL DE GASES  HRM  CENTRO CIRÚGICO  HRM FORMULÁRIO  PREDIAL PREVENTIVAS  Exclusão apenas de formulários lançados para o técnico JOÃO PEDRO MARTINS ALBUQUERQUE Agradeço de antemão, Att,",Pedido de Suporte
"Boa tarde, Segue abaixo dois vídeos sobre o Dashboard de Dispositivos, com melhorias na utilização da tela, identificadas pelo ponto de vista do cliente. Vídeo 1 Vídeo 2 Em caso de dúvidas, estou à disposição.",Reclamacao
"Prezados a, Gostaria de solicitar o cancelamento de preventivas lançar de forma duplicada, TIPO DE MANUTENÇÃO PREVENTIVA UNIDADE HOSPITAL REGIONAL DE MIRACEMA DATA INICIAL 03022025 DATA FINAL 04022025 SETOR  GERAL FORMULÁRIO  LOCAIS CORRETOS DE LANÇAMENTO  ADMINISTRAÇÃO PORTO  FARMACIA  LAVANDERIA LIMPA  MANUTENÇÃO PORTO  NECROTÉRIO  SALA DE ESTERILIZAÇÃO  ÁREA LIMPA Agradeço desde já, Att,",Pedido de Suporte
"Boa tarde, Solicito por gentileza o cadastro do seguinte colaborador no sistema Point Service Nome Jhonatan da Cruz Sousa CPF 045.984.28112 EMAIL CEL. 63 9 92655258 UNIDADE Secretaria de Saúde O colaborador mencionado irá realizar as preventivas em todas as unidades do Centro Anexo Palmas. Fico à disposição para quaisquer",Pedido de Suporte
"Bom dia, Thayla segue número de algumas ordens que precisa ser cancela porque foi lançada para funcionário em locais errados e foi executada. 10205362025 10205352025 10205342025 10205332025 10205322025 10205312025 10205302025 10205292025 10205282025 10205272025 10205262025 10205252025",Pedido de Suporte
"Bom dia, Estava fazendo a pesquisa de uma preventiva e observei que o filtro não está segurando, após fazer a pesquisa e clicar em voltar, a tela fica sem informação e depois o filtro feito anteriormente some. Segue vídeo em anexo.",Reclamacao
Boa tarde! Solicito a importação dos dados para o Point Service das planilhas em anexo referente a ATA da Saúde e Educação RR.,Pedido de Suporte
"Identificado que os aparelhos da marca LG k20 K40 estão com problema de layout no aplicativo do PS, abaixo segue video de 2 aparelhos !WhatsApp Video 20250124 at Video 20250124 at 16.00.58.mp4! !WhatsApp Video 20250124 at Video 20250124 at 15.40.54.mp4!",Reclamacao
Boa tarde! Solicito por gentileza a criação de dois logins para acesso ao Point Service conforme dados abaixo Nome Lígia Guilherme Figueiredo CPF 033.557.03214 Email Telefone 63 92563764 Nome Janeson Adriano Cabral Pereira CPF 035.006.80208 Email Telefone 63 92123437,Pedido de Suporte
"Boa tarde, Cadastra esse usuário por favor. Nome José Antônio da Silva Neto Telefone 63 991267722 CPF 038.000.14114 Email Matrícula 1146 Unidade Hospital Regional de Gurupi Permissão Monitoramento",Pedido de Suporte
"Olá, pessoal! Hoje consegui parar para levantar alguns pontos do mapa de colaboradores, que acredito ser necessário ajustar para melhorar o funcionamento Segue o link do vídeo com os pontos abordados Se ficarem dúvidas, estou à",Reclamacao
Bom dia Fazer o cadastro dos funcionários no point service.,Pedido de Suporte
"Prezados, Solicito o cadastro de fiscal , no sistema, com a permissão de lançar solicitações e aprovar preventivas. Obs. A fiscal atual entrará de licença, por isso colocaremos uma nova fiscal de forma provisória. Segue abaixo os dados Unidade  Arraias  TO  Região Sul Nome completo  Larissa Fernandes de Santana Email Telefone  63 992827716 CPF  060.179.34120",Pedido de Suporte
"Bom dia, gostaria de cancelar as seguintes preventivas. Motivo duplicadas. São 40 no total, todas no seguinte filtro. Hospital e Maternidade Dona regina.",Pedido de Suporte
"Boa noite, Por gentileza alterar a mensagem de erro que aparece no vídeo, quando o usuário pesquisa pelo campo errado, pois a mensagem não ajuda o próprio usuário a enxergar o que ele está fazendo de errado. Qualquer dúvida, fico à disposição. Atenciosamente, _ _A informação transmitida nesta mensagem é dedicada somente para o uso da pessoa endereçada e pode conter material confidencial eou privilegiado. Qualquer revisão, retransmissão, disseminação ou outro uso, ou a tomada de qualquer ação baseada nessas informações por pessoas não autorizadas é estritamente proibida. Se você recebeu esta mensagem por engano, por favor informe o remetente e imediatamente destrua todo o material e suas cópias.__ _ _ _ _The information transmitted is intended only for use by the addressee and may contain confidential andor privileged material. Any review, dissemination or other use of it, or the taking of any action in reliance upon this information by persons andor entities other than the intended recipient is prohibited. If you received this in error, please inform the sender andor addressee immediately and delete the material.__ _ _Thank you.__",Reclamacao
"Boa tarde, O novo mapa não está abrindo, favor verificar. Vide vídeo",Reclamacao
"Bom dia, Venho por meio deste relatar problema que tem acontecido ao tentar sincronizar as preventivas do Hospital de Araguaína, Hemocentro, Ambulatório, Lacen, Casa de apoio, Reabilito, Unacon, Residência, complexo regulador, caps 2 e Hospital de Arapoema. As preventivas não estão sincronizando, o que atrasa todo fluxo de execução e aprovação das mesmas. Resultando retrabalhos e transtornos devido a data de fechamento das preventivas. Peço que tal problema seja resolvido, para darmos continuidade nas demandas. Em anexo, vídeos que relatam o ocorrido.",Reclamacao
"Bom dia, Devido ao bug no sistema da POINT SERVICE do dia 17.01.2025 , na unidade de Gurupi estamos com preventivas que não sincronização. As mesmas estavam sendo realizadas quando ocorreu o problema, solicito orientação como devo solucionar o problema, devido o ocorrido nossa unidade provavelmente não conseguirá cumprir a meta prejudicando o planejamento e a medição do mês. Em anexo segue imagens de como ficaram as preventivas já realizadas e não sincronizadas. Atenciosamente",Duvida
"Bom dia, Foram identificadas divergências entre o cadastro de CPF dos usuários abaixo no P.service, foram validados junto ao administrativo da localidade. Solicito a correção dos dados.  20  1151  ANTHONY JOSE PEREZ ROMERO  AJUDANTE DE MANUTENÇÃO  709.975.72258  95 991184893  C300000D0F2C   25072024     FRANCISCO MARQUES DA SILVA   627.048.00278  95 038848889  C300000D0F9A     120  452  FRANKLIN JOSE ACOSTA BLANCO  PEDREIRO  706.080.46256  95 981047919  C300000D0F0B   25072024   177  528  JOELSON TRAJANOS LUZ  GESSEIRO  005.373.01275  95 991471139  C300000D0EEA   25072024   180  522  JOHNSON HIPOLYTO CARVALHO DE OLIVEIRA  ELETRICISTA  005.877.92213  95 991216622  C300002650AB     185   JORGE ELIAS MEDINA SIERRA   712.865.12255  95 991743494  C3000026509B     339  639  VALMIR ARAUJO DA SILVA  ELETRICISTA  747.598.33234  95 991832833  C300000D0FBC   01082024   340  261  VANESSA DO NASCIMENTO  AUXILIAR DE SERVIÇOS GERAIS  000.062.86208  95 991832344  C300000D0FEC   01082024   365  367  YANCARLOS JOSE PATETE RAMOS  PEDREIRO  704.782.08252  92 992343434  C300000D0FA7   ",Pedido de Suporte
"De Para Cc Tarefa de Admissão  Favor efetuar o cadastro do novo colaborador no PointService Nome WENER MATEUS MENDES DE SOUZA CPF 021.894.47135 Email Telefone 61 99726358 Permissão João Paulo Carneiro de Araújo Favor indicar este destinatário no email  cc ServiceDesk , email  Atenciosamente, h4. Jennifer Nogueira Barros de Almeida  ",Pedido de Suporte
"De Para Cc Tarefa de Admissão  Favor efetuar o cadastro do novo colaborador no PointService Nome JOSÉ VICTOR ALVES DE ARAÚJO SANTOS CPF 052.071.32148 Email Telefone 61 982826061 Permissão João Paulo Carneiro de Araújo Favor indicar este destinatário no email  cc ServiceDesk , email  Atenciosamente, h4. Jennifer Nogueira Barros de Almeida  ",Pedido de Suporte
"Bom dia, venho relatar que desde sexta feira 18, o aplicativo do point service não sincroniza preventivas. Estou em contato no suporte pelo whatsapp desde a data, mas ainda aguardando solução. Reitero a importância da resolução, uma vez que esse erro impacta na execução das atividades, e resulta no atraso da entrega das preventivas em tempo hábil.",Reclamacao
"Boa tarde, Solicito a inativação dos colaboradores abaixo, eles foram desligados.",Pedido de Suporte
"Bom dia, Solicito por gentileza o cadastro dos colaboradores em anexo.",Pedido de Suporte
"Solicito criação de contas no Point Service, bem como aceso às obras do contrato EMATER. Segue relação EQUIPE ADMINISTRATIVA  COLABORADORES EMATER Função Gestor de contrato NOME Ricardo Pádua Filho CPF 993.470.24004 TELEFONE 62 981001282 EMAIL Função Fiscal de contrato NOME Vinícius Rodrigues Ferreira CPF 036.481.95107 TELEFONE 64 981334580 EMAIL NOMERAFAEL MAGALHÃES DE GOUVEIA CPF 032.776.12104 TELEFONE 62 981760351 EMAIL NOME Robson Lopes Ribeiro França CPF 016.943.62175 TELEFONE 62 981507839 EMAIL",Pedido de Suporte
"Solicito criação de contas no Point Service, bem como aceso às obras do contrato EMATER. Segue relação EQUIPE ADMINISTRATIVA  COLABORADORES EMATER Função Gestor de contrato NOME Ricardo Pádua Filho CPF 993.470.24004 TELEFONE 62 981001282 EMAIL Função Fiscal de contrato NOME Vinícius Rodrigues Ferreira CPF 036.481.95107 TELEFONE 64 981334580 EMAIL NOMERAFAEL MAGALHÃES DE GOUVEIA CPF 032.776.12104 TELEFONE 62 981760351 EMAIL NOME Robson Lopes Ribeiro França CPF 016.943.62175 TELEFONE 62 981507839 EMAIL",Pedido de Suporte
"Bom dia! Identificamos mais um bug no Point Service, segue vídeos. Caso haja qualquer dúvida ou necessidade de mais informações, estou à disposição. Aguardo retorno!",Reclamacao
"Boa tarde, Solicito criação de contas no Point Service, bem como aceso às obras do contrato EMATER. Segue relação EQUIPE OPERACIONAL  ENGENHARIA PORTO Função Engenheiro operacional Nome Pedro Gabriel Leão Guimarães CPF 025.343.24136 TELEFONE 62 982085567 EMAIL Função Engenheiro operacional Nome Priscila Tallyta Reis Goulart CPF 064.589.22116 TELEFONE 62 984196425 EMAIL Função Encarregado de obras Nome LINDOMAR ANTONIO RIBEIRO FILHO CPF 756.017.29115",Pedido de Suporte
"Bom dia, Solicito criação de novo contrato no sistema. NOME EMATER GOIÁS DESCRIÇÃO Prestação de serviços com manutenções prediais preventivas e corretivas, de adequação, adaptação, reparação ou revitalização de infraestruturas e bens imóveis, com fornecimento de peças, equipamentos, materiais, mão de obra e sistema de gerenciamento de serviços. CONTRATO N 212024  EMATER DATA DE INÍCIO 03102024 DATA DE FIM 03102026 Em anexo, envio ainda relação de unidades e regiões para cadastro conforme processo licitatório.",Pedido de Suporte
"Boa tarde, Solicito criação de contas no Point Service, bem como aceso às obras do contrato EMATER. Segue relação EQUIPE OPERACIONAL  ENGENHARIA PORTO Função Engenheiro operacional Nome Pedro Gabriel Leão Guimarães CPF 025.343.24136 TELEFONE 62 982085567 EMAIL Função Engenheiro operacional Nome Priscila Tallyta Reis Goulart CPF 064.589.22116 TELEFONE 62 984196425 EMAIL Função Encarregado de obras Nome LINDOMAR ANTONIO RIBEIRO FILHO CPF 756.017.29115",Pedido de Suporte
"Bom dia, Solicito criação de novo contrato no sistema. NOME EMATER GOIÁS DESCRIÇÃO Prestação de serviços com manutenções prediais preventivas e corretivas, de adequação, adaptação, reparação ou revitalização de infraestruturas e bens imóveis, com fornecimento de peças, equipamentos, materiais, mão de obra e sistema de gerenciamento de serviços. CONTRATO N 212024  EMATER DATA DE INÍCIO 03102024 DATA DE FIM 03102026 Em anexo, envio ainda relação de unidades e regiões para cadastro conforme processo licitatório.",Pedido de Suporte
"Boa tarde, Inativa por favor os colaboradores abaixo, os mesmos foram deligados da empresa. ALEKS ARAUJO MORAES MATHEUS PINTO",Pedido de Suporte
"Boa tarde! Identificamos mais um bug no Point Service, está acontecendo o seguinte Feito todo o processo para VINCULAR OS, mas NÃO VINCULA, solicito que seja corrigido, por gentileza. Caso haja qualquer dúvida ou necessidade de mais informações, estou à disposição. Aguardo retorno!",Reclamacao
"Bom dia, Solicito criação de conta no Point Service, bem como aceso às obras do contrato da saúde da Prefeitura de Goiânia. EQUIPE ADMINISTRATIVA  LANÇAMENTO DAS ORDENS PREVENTIVAS NOME Ana Beatriz Nunes Cardoso CPF 711.065.27186 TELEFONE 62 984006002 EMAIL At.te.",Pedido de Suporte
"Bom dia, Solicito criação de conta no Point Service, bem como aceso às obras do contrato da saúde da Prefeitura de Goiânia. EQUIPE ADMINISTRATIVA  LANÇAMENTO DAS ORDENS PREVENTIVAS NOME Ana Beatriz Nunes Cardoso CPF 711.065.27186 TELEFONE 62 984006002 EMAIL At.te.",Pedido de Suporte
"Bom dia, Tentei utilizar esse filtro para pesquisar os usuários que apareceram na última hora no Hospital Geral de Palmas, mas o filtro pesquisou pessoas de outras unidades também. Poderiam verificar por gentileza.",Reclamacao
